
| Method                                  | Count  | Mean          | Error        | StdDev       | Median        | Gen0     | Gen1     | Gen2     | Allocated |
| ArrayHasDuplicates_HashSet1             | 10000  |      40.40 ns |     0.314 ns |     0.262 ns |      40.48 ns |   0.0325 |        - |        - |     272 B |
| ArrayHasDuplicates_HashSet2             | 10000  |      26.57 ns |     0.107 ns |     0.095 ns |      26.57 ns |   0.0210 |        - |        - |     176 B |
| ArrayHasDuplicates_HashSet3             | 10000  |  28,723.06 ns |    97.052 ns |    90.782 ns |  28,719.71 ns |  49.9878 |  49.9878 |  49.9878 |  202737 B |
| ArrayHasDuplicates_MostaExisting        | 10000  |  14,860.84 ns |   106.544 ns |    99.661 ns |  14,852.44 ns |   0.0153 |        - |        - |     216 B |
| ReadOnlyListHasDuplicates_DistinctLinq  | 10000  |  28,908.11 ns |   104.612 ns |    97.854 ns |  28,907.37 ns |  49.9878 |  49.9878 |  49.9878 |  202801 B |
| ReadOnlyListHasDuplicates_GroupByLinq   | 10000  |  49,656.33 ns |   323.466 ns |   286.745 ns |  49,656.27 ns |  27.2217 |   9.0332 |        - |  227776 B |
| ReadOnlyListHasDuplicates_HashSet1      | 10000  |      41.27 ns |     0.354 ns |     0.314 ns |      41.32 ns |   0.0325 |        - |        - |     272 B |
| ReadOnlyListHasDuplicates_HashSet2      | 10000  |      34.00 ns |     0.121 ns |     0.101 ns |      33.99 ns |   0.0249 |        - |        - |     208 B |
| ReadOnlyListHasDuplicates_HashSet3      | 10000  |  28,892.59 ns |    86.794 ns |    76.941 ns |  28,888.40 ns |  49.9878 |  49.9878 |  49.9878 |  202737 B |
| ReadOnlyListHasDuplicates_MostaExisting | 10000  |  14,640.66 ns |   137.777 ns |   122.135 ns |  14,685.35 ns |   0.0153 |        - |        - |     216 B |
| ArrayHasDuplicates_DistinctLinq         | 100000 | 292,434.40 ns | 1,323.899 ns | 1,173.602 ns | 292,250.83 ns | 333.4961 | 333.0078 | 333.0078 | 2174761 B |
| ArrayHasDuplicates_GroupByLinq          | 100000 | 518,793.20 ns | 7,109.798 ns | 6,650.509 ns | 518,712.99 ns | 312.5000 | 250.9766 |        - | 2629784 B |
| ArrayHasDuplicates_HashSet1             | 100000 |      40.92 ns |     0.772 ns |     0.919 ns |      40.81 ns |   0.0325 |        - |        - |     272 B |
| ArrayHasDuplicates_HashSet2             | 100000 |      26.79 ns |     0.167 ns |     0.156 ns |      26.80 ns |   0.0210 |        - |        - |     176 B |
| ArrayHasDuplicates_HashSet3             | 100000 | 294,470.12 ns | 1,068.569 ns |   947.259 ns | 294,568.36 ns | 333.4961 | 333.0078 | 333.0078 | 2174647 B |
| ArrayHasDuplicates_MostaExisting        | 100000 | 158,963.62 ns |   639.543 ns |   534.047 ns | 158,831.71 ns |        - |        - |        - |     216 B |
| ReadOnlyListHasDuplicates_DistinctLinq  | 100000 | 294,273.95 ns | 1,258.035 ns | 1,115.215 ns | 294,062.72 ns | 333.4961 | 333.0078 | 333.0078 | 2174730 B |
| ReadOnlyListHasDuplicates_GroupByLinq   | 100000 | 513,885.35 ns | 3,683.358 ns | 3,445.415 ns | 513,880.66 ns | 312.5000 | 250.9766 |        - | 2629784 B |
| ReadOnlyListHasDuplicates_HashSet1      | 100000 |      41.64 ns |     0.425 ns |     0.376 ns |      41.76 ns |   0.0325 |        - |        - |     272 B |
| ReadOnlyListHasDuplicates_HashSet2      | 100000 |      32.15 ns |     0.133 ns |     0.118 ns |      32.15 ns |   0.0249 |        - |        - |     208 B |
| ReadOnlyListHasDuplicates_HashSet3      | 100000 | 291,784.07 ns | 1,345.446 ns | 1,192.703 ns | 291,595.92 ns | 333.4961 | 333.0078 | 333.0078 | 2174698 B |
| ReadOnlyListHasDuplicates_MostaExisting | 100000 | 156,599.70 ns |   488.673 ns |   433.196 ns | 156,553.42 ns |        - |        - |        - |     216 B |
