Valid strings:

| Method             | ValidString          | Mean         | Error      | StdDev     | Allocated |
| Span_InValid_Middle         | AFHB(...)ZXCV [125]  |    33.188 ns |  0.1370 ns |  0.1282 ns |         - |
| SearchValues_InValid_Middle | AFHB(...)ZXCV [125]  |     4.072 ns |  0.0214 ns |  0.0179 ns |         - |
| Naive_InValid_Middle        | AFHB(...)ZXCV [342]  |   956.507 ns |  5.6981 ns |  4.7582 ns |         - |
| HashSet_InValid_Middle      | AFHB(...)ZXCV [342]  |   499.651 ns |  2.2424 ns |  1.7508 ns |         - |
| FrozenSet_InValid_Middle    | AFHB(...)ZXCV [342]  |   341.926 ns |  1.1536 ns |  1.0227 ns |         - |
| Span_InValid_Middle         | AFHB(...)ZXCV [342]  |    31.709 ns |  0.1539 ns |  0.1201 ns |         - |
| SearchValues_InValid_Middle | AFHB(...)ZXCV [342]  |     7.045 ns |  0.0343 ns |  0.0321 ns |         - |
| Naive_InValid_Middle        | AFHB(...)ZXCV [1365] | 3,400.723 ns | 12.9945 ns | 10.8510 ns |         - |
| HashSet_InValid_Middle      | AFHB(...)ZXCV [1365] | 1,751.582 ns |  3.9820 ns |  3.3252 ns |         - |
| FrozenSet_InValid_Middle    | AFHB(...)ZXCV [1365] | 1,192.609 ns |  4.0695 ns |  3.8066 ns |         - |
| Span_InValid_Middle         | AFHB(...)ZXCV [1365] |    45.094 ns |  0.1162 ns |  0.1030 ns |         - |
| SearchValues_InValid_Middle | AFHB(...)ZXCV [1365] |    18.734 ns |  0.0653 ns |  0.0546 ns |         - |
|____________________________|_______________________|______________|____________|____________|___________|


Invalid strings (invalid char close to end):
| Method                   | InvalidStringEnd     | Mean         | Error      | StdDev     | Allocated |
|------------------------- |--------------------- |-------------:|-----------:|-----------:|----------:|
| Naive_InValid_End        | AFHB5(...)Z^XCV [32] |   142.366 ns |  1.4716 ns |  1.3765 ns |         - |
| HashSet_InValid_End      | AFHB5(...)Z^XCV [32] |    79.058 ns |  0.3979 ns |  0.3322 ns |         - |
| FrozenSet_InValid_End    | AFHB5(...)Z^XCV [32] |    65.552 ns |  0.3594 ns |  0.3362 ns |         - |
| Span_InValid_End         | AFHB5(...)Z^XCV [32] |    28.586 ns |  0.1682 ns |  0.1491 ns |         - |
| SearchValues_InValid_End | AFHB5(...)Z^XCV [32] |     2.982 ns |  0.0277 ns |  0.0245 ns |         - |
| Naive_InValid_End        | AFHB(...)ZXCV [125]  |   638.385 ns |  2.2538 ns |  2.1083 ns |         - |
| HashSet_InValid_End      | AFHB(...)ZXCV [125]  |   333.317 ns |  0.9471 ns |  0.8396 ns |         - |
